"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 18 16:55:00 GMT 2024","Thu Jan 18 16:55:02 GMT 2024","1915","tests.navigation","test_transfer_funds_page_navigation","TestTransferFundsPageNavigation","","","User can proceed from Transfer Funds page to Update Profile page",""
"passed","Thu Jan 18 16:51:21 GMT 2024","Thu Jan 18 16:51:25 GMT 2024","3640","tests.core_features","test_customer_lookup","TestCustomerLookup","","","User can successfully lookup for credentials by providing valid data",""
"passed","Thu Jan 18 16:53:34 GMT 2024","Thu Jan 18 16:53:35 GMT 2024","963","tests.navigation","test_home_page_navigation","TestHomePageNavigation","","","User can proceed from Home page to Contact page",""
"passed","Thu Jan 18 16:53:22 GMT 2024","Thu Jan 18 16:53:24 GMT 2024","1797","tests.navigation","test_contact_page_navigation","TestContactPageNavigation","","","Logged in user can proceed from Contact page to Update Profile page",""
"passed","Thu Jan 18 16:53:07 GMT 2024","Thu Jan 18 16:53:08 GMT 2024","916","tests.navigation","test_contact_page_navigation","TestContactPageNavigation","","","User can proceed from Contact page to Home page",""
"passed","Thu Jan 18 16:53:46 GMT 2024","Thu Jan 18 16:53:48 GMT 2024","1808","tests.navigation","test_home_page_navigation","TestHomePageNavigation","","","Logged in user can proceed from Home page to Bill Pay page",""
"passed","Thu Jan 18 16:53:44 GMT 2024","Thu Jan 18 16:53:45 GMT 2024","1659","tests.navigation","test_home_page_navigation","TestHomePageNavigation","","","Logged in user can proceed from Home page to Transfer Funds page",""
"passed","Thu Jan 18 16:54:06 GMT 2024","Thu Jan 18 16:54:07 GMT 2024","931","tests.navigation","test_lookup_page_navigation","TestCustomerLookupPageNavigation","","","User can proceed from Customer Lookup page to Home page",""
"passed","Thu Jan 18 16:54:51 GMT 2024","Thu Jan 18 16:54:53 GMT 2024","2117","tests.navigation","test_transfer_funds_page_navigation","TestTransferFundsPageNavigation","","","User can proceed from Transfer Funds page to Open New Account page",""
"passed","Thu Jan 18 16:51:28 GMT 2024","Thu Jan 18 16:51:31 GMT 2024","3666","tests.core_features","test_customer_lookup","TestCustomerLookup","","","User can't successfully lookup for credentials by leaving one of the fields empty.",""
"passed","Thu Jan 18 16:52:51 GMT 2024","Thu Jan 18 16:52:53 GMT 2024","1509","tests.navigation","test_accounts_overview_page_navigation","TestAccountsOverviewPageNavigation","","","User can proceed from Accounts Overview page to Find Transactions page",""
"passed","Thu Jan 18 16:50:59 GMT 2024","Thu Jan 18 16:51:05 GMT 2024","5720","tests.core_features","test_bill_payment","TestBillPayment","","","User can make payment to a certain payee",""
"passed","Thu Jan 18 16:51:39 GMT 2024","Thu Jan 18 16:51:46 GMT 2024","6877","tests.core_features","test_funds_transfer","TestFundsTransfer","","","User can transfer funds between accounts",""
"passed","Thu Jan 18 16:52:39 GMT 2024","Thu Jan 18 16:52:40 GMT 2024","1459","tests.navigation","test_accounts_overview_page_navigation","TestAccountsOverviewPageNavigation","","","User can proceed from Accounts Overview page to About Us page",""
"passed","Thu Jan 18 16:54:27 GMT 2024","Thu Jan 18 16:54:29 GMT 2024","1746","tests.navigation","test_open_new_account_page_navigation","TestOpenNewAccountPageNavigation","","","User can proceed from Open New Account page to Update Profile page",""
"passed","Thu Jan 18 16:54:02 GMT 2024","Thu Jan 18 16:54:03 GMT 2024","1080","tests.navigation","test_lookup_page_navigation","TestCustomerLookupPageNavigation","","","User can proceed from Customer Lookup page to Contact page",""
